restaurant_id,orders_count,temp,rain,wind,humidity,tourist_flow,is_holiday,ops_accepting_time_gojek,ops_delivery_time_gojek,ops_preparation_time_gojek,ops_rating_gojek,ops_rating_grab,mkt_ads_spend_gojek,mkt_ads_spend_grab,mkt_impressions_grab,mkt_roas_gojek,mkt_roas_grab,outage_offline_rate_grab,ads_spend_total,impressions_total,accepting_time_mean,delivery_time_mean,preparation_time_mean,offline_rate_sum,day_of_week,is_weekend,total_sales_lag_1,total_sales_lag_3,total_sales_lag_7,orders_count_lag_1,orders_count_lag_3,orders_count_lag_7,temp_lag_1,temp_lag_2,temp_lag_3,temp_lag_4,temp_lag_5,temp_lag_6,temp_lag_7,rain_lag_1,rain_lag_2,rain_lag_3,rain_lag_4,rain_lag_5,rain_lag_6,rain_lag_7,wind_lag_1,wind_lag_2,wind_lag_3,wind_lag_4,wind_lag_5,wind_lag_6,wind_lag_7,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_4,humidity_lag_5,humidity_lag_6,humidity_lag_7,tourist_flow_lag_1,tourist_flow_lag_2,tourist_flow_lag_3,tourist_flow_lag_4,tourist_flow_lag_5,tourist_flow_lag_6,tourist_flow_lag_7,total_sales_rolling_mean_7,orders_count_rolling_mean_7,temp_rolling_mean_7,rain_rolling_mean_7,wind_rolling_mean_7,humidity_rolling_mean_7,tourist_flow_rolling_mean_7
1,12.0,,,,,0.0,0,0.1666666666666666,12.183333333333334,28.616666666666667,4.699999809265137,4.7,85000.0,19658.18,954.0,36.38235294117647,25.30753101253524,0.0,104658.18,954.0,0.1666666666666666,12.183333333333334,28.616666666666667,0.0,2,0,2926500.0,5940000.0,3554500.0,12.0,14.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200142.857142857,11.428571428571429,,,,,0.0
10,37.0,,,,,0.0,0,0.0,11.866666666666667,24.28333333333333,4.800000190734863,4.8,110000.0,166627.93,4982.0,51.98636363636364,5.617905713645966,,276627.93,4982.0,0.0,11.866666666666667,24.28333333333333,0.0,2,0,10392100.0,9242500.0,9550400.0,39.0,36.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10713357.142857144,36.71428571428572,,,,,0.0
1,9.0,,,,,0.0,0,0.1666666666666666,11.016666666666667,26.6,4.300000190734863,4.7,26000.0,88835.37,1089.0,26.873076923076923,2.96053249961136,0.0,114835.37,1089.0,0.1666666666666666,11.016666666666667,26.6,0.0,2,0,2969900.0,1490900.0,1728200.0,10.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2259228.571428572,8.285714285714286,,,,,0.0
12,77.0,27.6,3.1,20.5,77.0,0.0,0,0.0333333333333333,10.466666666666669,26.166666666666668,4.599999904632568,4.6,129000.0,435576.25,8701.0,48.7906976744186,5.202303844619627,0.0,564576.25,8701.0,0.0333333333333333,10.466666666666669,26.166666666666668,0.0,3,0,18749000.0,11116000.0,19094000.0,67.0,43.0,87.0,27.2,26.5,27.0,27.7,28.2,28.1,27.8,0.0,1.3,9.5,7.6,0.7,0.1,0.1,13.6,16.9,21.5,23.8,23.0,16.9,16.2,79.0,82.0,80.0,76.0,74.0,74.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16664857.142857144,71.71428571428571,27.47142857142857,3.185714285714285,19.457142857142856,77.42857142857143,0.0
18,0.0,,,,,0.0,0,,,,,,,,,,,,0.0,0.0,,,,0.0,0,0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0
22,15.0,,,,,0.0,0,0.2,23.416666666666668,18.316666666666663,4.800000190734863,4.8,115200.0,97393.29,2505.0,2.9253472222222223,12.115824406383645,1.25,212593.29,2505.0,0.2,23.416666666666668,18.316666666666663,1.25,6,1,2368000.0,2587000.0,2894000.0,9.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3212714.285714286,16.714285714285715,,,,,0.0
7,10.0,,,,,0.0,0,0.0,10.216666666666669,50.31666666666667,4.599999904632568,4.8,238848.0,82016.51,962.0,24.758005091103964,21.60528410682191,0.0,320864.51,962.0,0.0,10.216666666666669,50.31666666666667,0.0,4,0,6026740.0,7992110.0,7723100.0,18.0,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7490381.428571428,19.571428571428573,,,,,0.0
46,14.0,,,,,0.0,0,0.0833333333333333,2.966666666666667,8.416666666666666,4.800000190734863,4.7,30000.0,175300.0,866.0,0.0,15.730176839703365,0.0,205300.0,866.0,0.0833333333333333,2.966666666666667,8.416666666666666,0.0,2,0,1849000.0,4661900.0,3094500.0,28.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3447728.571428572,17.428571428571427,,,,,0.0
20,30.0,27.6,8.1,18.5,82.0,0.0,0,0.0,13.583333333333334,24.816666666666663,4.699999809265137,4.8,95160.0,154608.68,1983.0,24.08575031525851,9.33647451100417,0.0,249768.68,1983.0,0.0,13.583333333333334,24.816666666666663,0.0,5,1,3845500.0,4550000.0,5987200.0,25.0,28.0,28.0,27.6,26.8,27.2,26.8,26.4,25.5,25.7,2.7,16.2,9.4,18.9,17.4,15.6,14.2,18.6,14.1,13.7,11.0,13.0,14.9,13.2,80.0,86.0,85.0,87.0,88.0,91.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4928157.142857143,27.142857142857142,26.842857142857145,12.614285714285714,14.828571428571433,85.57142857142857,0.0
21,10.0,,,,,0.0,0,0.1333333333333333,15.3,18.03333333333333,4.699999809265137,4.7,,19076.82,268.0,,12.580713137724212,0.0,19076.82,268.0,0.1333333333333333,15.3,18.03333333333333,0.0,0,0,780000.0,594000.0,340000.0,4.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562142.8571428572,6.285714285714286,,,,,0.0
35,0.0,,,,,0.0,0,,,,,,77220.0,289504.64,2994.0,20.53354053354053,13.983195571580476,,366724.64,2994.0,,,,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0
18,11.0,,,,,0.0,0,0.2,14.783333333333331,39.31666666666667,4.800000190734863,,101520.0,,,28.82486209613869,,,101520.0,0.0,0.2,14.783333333333331,39.31666666666667,0.0,0,0,938400.0,2772500.0,2639000.0,4.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852728.5714285716,6.857142857142857,,,,,0.0
41,14.0,,,,,0.0,0,0.25,7.083333333333333,21.883333333333333,4.199999809265137,4.6,42120.0,13773.1,521.0,21.248812915479583,4.864554820628617,1.67,55893.1,521.0,0.25,7.083333333333333,21.883333333333333,1.67,4,0,552000.0,448000.0,1255000.0,5.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231642.857142857,7.571428571428571,,,,,0.0
44,1.0,,,,,0.0,0,0.9333333333333332,9.75,26.9,0.0,5.0,6480.0,0.0,28.0,27.044753086419757,,0.0,6480.0,28.0,0.9333333333333332,9.75,26.9,0.0,4,0,5000.0,0.0,,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,25750.0,0.8571428571428571,,,,,0.0
